task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	12.45363600681063	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.048311028358198	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	8.56434449071009	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	2	9.744093592900725	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.0500701904841	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.244421148499118	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.888770081113309	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	9.44350427219211	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	9.459203753549646	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	1	9.552362800298717	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	9.424144269733553	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.496365739220533	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	9.392199706944604	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	8.789132836716624	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	10.111008941082181	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	8.896365739220085	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	2	10.008307061372463	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	2	9.09120502745565	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	2	9.400433434975756	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	14.018079532453568	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	9.079511083112337	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	8.88004718476857	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	10.305275251462415	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	8.64409736433026	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	9.752270330446466	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.984356810710574	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	2	8.532044575499464	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	8.903240635333328	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.208564636009804	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	7.8736301680786855	1716	25	soukrlek	16	ano	akt	ano	prilez	ano	ne	ano	ano	filog
