task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	13.2174074999968	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.29968070000307	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.496761299998528	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	2	9.26813739999746	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	3	12.977971099999355	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	10.906312300000096	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	A	3	10.100616799999955	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	11.620410000000685	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	3	12.44268129999939	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.434128900003138	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	12.06013710000325	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.616992799998748	1c0a	23	zus	13	ano	pas	ne	profes	ano	ne	ano	ne	fon
