task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	10.741855878331517	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	3	11.168312034070752	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	8.90228967648099	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	8.64009657651949	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	9.416312548103534	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.168391653128348	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	3	10.848350418838407	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	3	9.893755630953782	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	3	10.894753243778801	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	8.375516301653665	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	11.470373608936809	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	9.519613107252084	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	3	9.788385535032944	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	8.881284492861186	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	10.49255156730779	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	2	9.3628579889335	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.1923793387157	2d50	24	zus	3	ano	pas	ne	vubec	ano	ne	ano	ne	ne
