task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	10.133807090007858	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.080303921309438	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	8.640658659130255	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.760393429892636	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	3	9.936221922059277	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	2	11.664321443089952	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	2	8.133679699513621	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	8.33675774434947	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	8.499462501518373	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	10.032044994545394	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	3	9.072338383790498	4fab	19	zus	5	ne	akt	ano	prilez	ne	ano	ano	ne	ne
