task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	B	2	6.835146506050959	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.30430445768874	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	9.454203117993416	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	10.144381059603404	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	8.672439234595794	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.248298736291947	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	3	10.616275113177633	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	9.720286935909813	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	9.216162808402174	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	2	8.832474658092519	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	9.664399106590865	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	3	8.976573419247833	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.120529983558502	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	8.376506092254974	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	2	12.73638786493765	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	9.018458910280163	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	3	9.944352005631608	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	8.44441388500469	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	8.203695022690813	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	1	9.520318504167022	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.688295439783406	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.3603914743356	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	10.528108041664598	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.336753833238209	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	B	2	10.392339110138344	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	12.280407007035432	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	11.456268184922143	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	3	10.136509109397968	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	2	11.408549270927598	50cb	25	zadne	0	ne	pas	ne	prilez	ano	ne	ne	ne	mzv
