task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	12.154109390998057	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	8.920282186702515	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	10.440253020984457	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	10.384532252004124	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.872364644109775	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.248276107717578	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	3	12.416413398909615	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	10.15222004472636	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	9.952170597101064	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	1	10.024206568153271	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	1	9.592315643468597	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	9.424508003112099	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	10.128437413134908	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	3	15.128188498817574	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.608328013755951	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	1	10.760421925132977	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	9.704395810082012	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	2	9.336535649083867	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	10.048473060123499	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	A	1	9.312270553939209	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	10.008454566152858	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.400390692113046	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.248283650575651	607c	26	soukrlek	22	ano	akt	ano	prilez	ne	ano	ano	ne	ne
