task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	B	3	14.58151929924076	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.439008170033677	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	3	13.33316399151285	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	18.056351156361494	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	11.972532961591778	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	12.65634864207578	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	9.55774672479324	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.480279337177427	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	10.904404470400237	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	10.072439793324946	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.848318850579688	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.382385051730612	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	8.981537737337852	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	11.816310592547286	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	3	13.996153282050827	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	10.080540543561444	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	3	10.335267890193645	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	12.807960089898796	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	9.435557452134638	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	3	11.1316987214853	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	3	9.446063256643832	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	1	8.260237683839748	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.14439670405023	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.013308814388587	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	3	9.187896925447387	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	9.132556372387885	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	3	9.473956187169604	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	10.211217207772837	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	3	9.721234263013137	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.51322765882243	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	9.268917557958009	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.35250192412692	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	8.896438094785417	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.576442117643978	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	3	10.909649829797022	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	11.921295723339137	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	3	9.663829481121855	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.200453269899459	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	8.070091170804366	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	1	7.812448369834618	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	9.671463970980032	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.280464276883741	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
mu_zacvik	02_m1_comp_C_dorian,02_m1_comp_C_dorian,up_4_ST_02_m1_comp_C_dorian	A	1	12.202830946392007	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
mu_zacvik	0_33_shorter_04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian	B	2	11.134216080534603	6a10	30	zus	15	ano	akt	ano	prilez	ano	ne	ne	ano	ne
