task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	9.973566333151744	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	A	3	12.12035761528317	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	B	3	14.70193432405601	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	3	13.016277068733675	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	10.09622912968026	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	10.440202455898525	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	2	10.096356520172915	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	9.080453381645238	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	3	9.89601681219185	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	3	9.416296624292542	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	A	3	10.352429009832088	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	10.216390490969923	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	9.616356967156698	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	3	9.232341121567453	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	9.616302490959647	84bc	29	zus	13	ne	pas	ano	vubec	ano	ne	ne	ne	ne
