task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	17.27114437728775	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	2	11.864256071652221	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	18.176283158893142	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	11.944305631022154	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	1	10.144277973876392	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	10.064180363704649	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	2	14.488383998525304	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	3	11.392438843483543	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	9.46437061134812	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	10.512244014252982	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	1	9.376539336702685	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	11.096347301123245	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.656560400833167	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	8.172117825030487	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.264168630370884	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	3	11.464508897079675	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	2	8.287551769847786	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	11.080261737175562	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	11.05012215239708	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	9.376364454141177	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.60016021589303	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	10.496413231290457	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	11.584483363108898	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	10.097930742594691	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.416165602052693	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.896467986852965	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	2	8.13647307129835	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	12.411590718931544	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	10.992445827611819	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	10.248202355326477	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	9.621467393202394	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	3	11.808304826451655	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	11.93657783321555	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	11.386502893524508	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	9.104460902153008	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	9.3121850682144	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.432320727913664	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.92833907661404	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	10.10441480691027	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	7.666073062359104	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	3	9.221017615367959	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	8.25736776601417	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_zacvik	02_m1_comp_C_dorian,02_m1_comp_C_dorian,up_4_ST_02_m1_comp_C_dorian	A	2	15.443225186441293	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_zacvik	0_33_shorter_04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian	A	1	11.850462139741182	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,0_33_shorter_10_m2_comp_C_lydian	A	1	14.595613828015345	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	02_m1_comp_C_dorian,02_m1_comp_C_dorian,0_33_longer_02_m1_comp_C_dorian	A	3	13.339280411337647	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	0_50_longer_12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian	A	2	14.824258809430079	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	0_25_shorter_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	B	1	13.798297688672456	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	18_m3_comp_C_locrian,18_m3_comp_C_locrian,up_2_ST_18_m3_comp_C_locrian	A	1	13.513446122342476	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,0_25_shorter_13_m3_comp_D_ionian	B	2	14.911104763315493	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	down_1_ST_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	B	1	13.20058457150268	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	08_m2_comp_D_dorian,08_m2_comp_D_dorian,up_3_ST_08_m2_comp_D_dorian	A	2	12.79125601158842	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	up_2_ST_18_m3_comp_C_locrian,18_m3_comp_C_locrian,18_m3_comp_C_locrian	B	2	14.466042611560738	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,down_3_ST_10_m2_comp_C_lydian	A	1	13.795929510594261	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,up_1_ST_01_m1_comp_B_lower_ionian	A	2	13.798884914143649	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	0_33_shorter_10_m2_comp_C_lydian,10_m2_comp_C_lydian,10_m2_comp_C_lydian	A	3	15.735818798198874	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,0_50_longer_12_m2_comp_B_lower_locrian	A	1	11.290190093991736	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	down_3_ST_10_m2_comp_C_lydian,10_m2_comp_C_lydian,10_m2_comp_C_lydian	B	3	10.147742660031163	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	0_33_longer_02_m1_comp_C_dorian,02_m1_comp_C_dorian,02_m1_comp_C_dorian	B	3	13.702169828847415	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	0_17_shorter_06_m1_comp_D_locrian,06_m1_comp_D_locrian,06_m1_comp_D_locrian	A	1	13.957152794559704	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,down_1_ST_13_m3_comp_D_ionian	A	1	10.633916182085386	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	06_m1_comp_D_locrian,06_m1_comp_D_locrian,0_17_shorter_06_m1_comp_D_locrian	A	2	15.238662874750268	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	up_1_ST_01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian	B	3	15.552211663773534	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
mu_test	up_3_ST_08_m2_comp_D_dorian,08_m2_comp_D_dorian,08_m2_comp_D_dorian	A	2	15.27253114571813	9ef7	25	zus	7	ano	pas	ne	vubec	ne	ne	ano	ne	filog
