task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	11.224236180855385	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	10.688288455655679	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	3	20.430088321281044	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	11.576476200187468	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.527995178158127	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	2	12.307038324703282	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	2	12.688411935036413	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	10.13639456970092	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	9.251151612844623	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.784376645635142	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.400404939733969	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	3	9.541713960852587	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	9.681094245218315	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	3	12.602955822597567	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	11.168202802311487	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	1	9.736342887154656	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.400263301620765	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	2	9.754800540292111	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	8.923690720468661	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	10.13632389032686	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	7.940035255877502	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	8.720470758155068	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	2	8.96361115728397	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	9.152243790761068	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	8.784504594857774	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	1	9.049559231690063	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	9.11290610957533	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	9.670336732741218	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	10.632522708891818	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	3	14.023961285582418	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	1	9.3605738997554	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	1	9.151240590633673	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	10.136126379190605	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.304458946597908	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.120288612100165	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.360463829900162	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.224428104689292	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	1	8.992367046649815	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	9.800524228637958	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	9.824644053923047	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	8.499452723740022	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	10.016292433814872	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
mu_zacvik	02_m1_comp_C_dorian,02_m1_comp_C_dorian,up_4_ST_02_m1_comp_C_dorian	A	2	18.971647374177472	c1d1	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	filog
