task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	B	3	18.148470126788197	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.84824202517374	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	3	14.784153712274765	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	B	1	9.288388747733235	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	B	2	10.101853028808037	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	3	16.453628743316496	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	B	3	14.909865220299478	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	2	9.62551399688949	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	11.747439828248115	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.202832343216121	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	8.832463204121654	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.744178519895915	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	3	10.9428076752787	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	B	1	9.648319968039393	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	10.267419043480594	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	3	9.944401173893516	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	12.55671782307421	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	2	8.96018697907413	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	1	9.448376679159402	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	B	2	8.568264821367269	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	2	9.014694465354673	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	B	1	9.653437936940975	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	9.91858364680619	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	A	3	9.710597715629145	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.758866978901988	c720	25	zus	1	ne	pas	ne	prilez	ne	ano	ne	ne	mzv
