task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	10.703241900002375	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	A	3	14.538980300001022	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	8.786270199998032	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.366685400003107	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	9.955119799998428	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.11435500000189	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	10.164565300002561	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	10.260312900002592	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	1	10.858762600001981	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.004751200002751	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	10.427494399998682	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.019089600000317	ca9a	23	zadne	0	ano	pas	ne	prilez	ano	ano	ne	ne	fon
