task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	12.808106197855277	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	10.432182162816598	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.32574684771385	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	3	10.44850155536587	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	2	9.904035987814954	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	3	11.360333645756647	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	10.200237879395932	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.856286064290298	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.928432663927257	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	2	10.496163199513528	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.368255602317678	d742	26	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	filog
