task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	13.903142857541969	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.512459125391628	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.566421290974121	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	1	8.552905047987965	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	9.304403073574987	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	8.53867921761005	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	7.8053010927366735	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	3	9.096225218568293	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	12.775954625518027	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	8.755798711847438	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	2	9.152523435241077	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	8.740208462248686	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	10.176275336669898	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	1	8.58458728693172	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.288477585838463	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	9.05625840714393	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	8.389028354162353	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	8.77624740015835	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.480294143529397	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	10.056411219861795	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	1	8.71555532895941	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.032303127911451	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	9.536240360157487	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.15244996221587	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	3	11.832492537459384	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	8.88058161023258	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	1	7.94805359340362	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	1	8.549140603065467	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.064240147839998	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	10.008508204255065	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.928515356001993	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.296376634460557	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	8.814557855816865	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	8.417381678397646	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.14438664690623	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	9.232451750152604	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	A	1	9.28045254354951	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	2	9.336654379257649	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	B	1	8.184788150449236	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	7.455795499148654	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	8.594570399310527	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	14.184188912277959	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_zacvik	02_m1_comp_C_dorian,02_m1_comp_C_dorian,up_4_ST_02_m1_comp_C_dorian	A	1	12.574543831688082	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_zacvik	0_33_shorter_04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian	B	1	10.90499840063464	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	down_1_ST_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	B	1	12.720974453457126	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,0_25_shorter_13_m3_comp_D_ionian	A	1	13.10074841914256	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,down_3_ST_10_m2_comp_C_lydian	A	1	12.765706116280034	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	08_m2_comp_D_dorian,08_m2_comp_D_dorian,up_3_ST_08_m2_comp_D_dorian	A	2	15.752791625751215	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,0_50_longer_12_m2_comp_B_lower_locrian	A	1	13.915581309915032	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,down_1_ST_13_m3_comp_D_ionian	A	1	12.613401004876295	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	0_33_longer_02_m1_comp_C_dorian,02_m1_comp_C_dorian,02_m1_comp_C_dorian	B	2	12.990425179736473	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	up_1_ST_01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian	B	1	6.429583508518508	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	18_m3_comp_C_locrian,18_m3_comp_C_locrian,up_2_ST_18_m3_comp_C_locrian	A	1	12.928478200441644	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	0_17_shorter_06_m1_comp_D_locrian,06_m1_comp_D_locrian,06_m1_comp_D_locrian	A	1	14.577912695608024	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	up_2_ST_18_m3_comp_C_locrian,18_m3_comp_C_locrian,18_m3_comp_C_locrian	A	2	15.944833351724922	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	0_33_shorter_10_m2_comp_C_lydian,10_m2_comp_C_lydian,10_m2_comp_C_lydian	B	1	13.236075115692005	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
mu_test	01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,up_1_ST_01_m1_comp_B_lower_ionian	A	1	11.615081665407246	e019	25	zus	19	ano	akt	ano	prilez	ne	ne	ano	ne	ne
