task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	11.929795127593048	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.624261044350584	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	3	11.12726100663629	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	A	3	9.760256820350044	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	10.79242291967275	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	8.952373136809301	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	3	8.408442274087923	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	8.755163435576312	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	3	11.368370142015237	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.10678773419524	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	8.912429233324353	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	2	8.649116437983022	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	8.41481040188066	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	2	7.7326463279550905	e51f	21	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
