task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	B	2	10.753200336912535	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	2	10.312860852427859	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	14.773324961691673	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	14.977236911395893	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	11.744327980232272	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	10.734425045641926	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.600362196871252	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	12.772075361531929	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	1	8.889019833525568	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	10.944162596082606	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	10.119169196086487	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	8.214671836783252	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	3	13.661236414123898	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	9.474753215842434	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	9.699966196820864	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	1	8.235115775887705	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	3	10.086688252279666	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	2	9.441968043425744	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.222802479085042	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	1	9.302563733657509	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.432240829490718	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	3	10.106670959575586	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	9.187465865074245	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	9.05788347401629	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.544284119909246	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	8.952012197082583	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	2	9.36763122128805	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	9.33968884313504	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	1	8.447488298093239	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	10.132166658053768	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	8.96518035113366	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	3	10.415768903591086	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	8.299960609517747	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	10.936481452251183	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	3	11.33112211188781	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	8.664436820880871	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.033627318556555	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.000589879439104	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	8.936433960181773	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	9.080313978453031	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	B	2	8.543268348353095	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	9.18388105192254	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
mu_zacvik	02_m1_comp_C_dorian,02_m1_comp_C_dorian,up_4_ST_02_m1_comp_C_dorian	A	1	14.707591467631515	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
mu_zacvik	0_33_shorter_04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian	B	2	16.37603871441869	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,down_1_ST_13_m3_comp_D_ionian	A	3	19.362744287332276	e7fb	30	zus	24	ne	akt	ano	prilez	ne	ano	ne	ne	ne
