task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	3	12.991376138586997	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	10.160418852116766	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	3	9.152600540012813	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	12.538968081138398	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	10.824515825335318	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	7.893242716602683	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.2764355525633	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	12.296353167790697	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	2	9.736414683989516	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	9.610804585498695	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	3	11.632110086616791	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	2	11.600247098444218	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	3	13.702690286056308	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	3	9.483129978810451	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	B	3	9.156747435777044	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	3	13.192636354620431	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	8.220058554927725	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	2	9.43762168096763	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	1	8.135686658500301	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	B	3	10.733929731292427	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	7.658265924859463	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	1	8.553288616290914	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	A	3	8.828747368729903	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	B	2	7.467937545134677	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	1	3.559035994798125	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	2	8.905045613339404	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	3	8.745263015271146	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	2	10.003100533727153	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	9.41651424971576	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	3	5.035106556838478	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	8.36520353843846	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	B	3	11.704514540256245	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	3	10.90065678738521	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	8.27099240266607	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	7.768211183264755	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	10.256664604021221	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	3	8.722964091804794	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	10.339505858984724	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	3	9.010103658425425	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.424387038017503	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	A	3	10.162383626969246	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	B	3	9.0240291713054	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_zacvik	02_m1_comp_C_dorian,02_m1_comp_C_dorian,up_4_ST_02_m1_comp_C_dorian	A	1	11.45066607627464	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_zacvik	0_33_shorter_04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian	B	1	10.907954362914856	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	08_m2_comp_D_dorian,08_m2_comp_D_dorian,up_3_ST_08_m2_comp_D_dorian	A	1	11.463712706503316	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	up_3_ST_08_m2_comp_D_dorian,08_m2_comp_D_dorian,08_m2_comp_D_dorian	A	2	13.20920577894632	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,down_1_ST_13_m3_comp_D_ionian	B	3	15.117894453066144	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,down_3_ST_10_m2_comp_C_lydian	A	1	13.15465135932099	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_33_shorter_10_m2_comp_C_lydian,10_m2_comp_C_lydian,10_m2_comp_C_lydian	B	2	13.608046134354858	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_25_shorter_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	B	1	13.21295904926455	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_50_longer_12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian	B	1	13.997139720271846	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,up_1_ST_01_m1_comp_B_lower_ionian	A	1	14.25368880681797	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	06_m1_comp_D_locrian,06_m1_comp_D_locrian,0_17_shorter_06_m1_comp_D_locrian	A	1	12.305450413390442	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	up_1_ST_01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian	B	2	14.149704082501689	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,0_33_shorter_10_m2_comp_C_lydian	A	2	13.46577386232046	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,0_50_longer_12_m2_comp_B_lower_locrian	B	2	13.56509290985347	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	02_m1_comp_C_dorian,02_m1_comp_C_dorian,0_33_longer_02_m1_comp_C_dorian	A	2	13.221088574106282	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	18_m3_comp_C_locrian,18_m3_comp_C_locrian,up_2_ST_18_m3_comp_C_locrian	A	2	13.025476003235282	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,0_25_shorter_13_m3_comp_D_ionian	B	3	13.849005250667187	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_17_shorter_06_m1_comp_D_locrian,06_m1_comp_D_locrian,06_m1_comp_D_locrian	A	2	14.107407366020151	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	down_1_ST_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	A	3	13.121724548790445	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	down_3_ST_10_m2_comp_C_lydian,10_m2_comp_C_lydian,10_m2_comp_C_lydian	B	1	12.820543532767278	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_33_longer_02_m1_comp_C_dorian,02_m1_comp_C_dorian,02_m1_comp_C_dorian	B	2	12.415074681279744	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	up_2_ST_18_m3_comp_C_locrian,18_m3_comp_C_locrian,18_m3_comp_C_locrian	B	2	12.377995108316894	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_33_longer_02_m1_comp_C_dorian,02_m1_comp_C_dorian,02_m1_comp_C_dorian	B	2	12.094382246905338	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,down_3_ST_10_m2_comp_C_lydian	A	1	12.6998667428404	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	up_3_ST_08_m2_comp_D_dorian,08_m2_comp_D_dorian,08_m2_comp_D_dorian	B	2	10.762510738096907	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	18_m3_comp_C_locrian,18_m3_comp_C_locrian,up_2_ST_18_m3_comp_C_locrian	B	3	12.64564169468467	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	up_2_ST_18_m3_comp_C_locrian,18_m3_comp_C_locrian,18_m3_comp_C_locrian	A	2	13.381601432584315	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	up_1_ST_01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian	A	3	13.166388325890672	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_17_shorter_06_m1_comp_D_locrian,06_m1_comp_D_locrian,06_m1_comp_D_locrian	B	3	9.505619708650128	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	08_m2_comp_D_dorian,08_m2_comp_D_dorian,up_3_ST_08_m2_comp_D_dorian	A	2	11.282058613594339	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	06_m1_comp_D_locrian,06_m1_comp_D_locrian,0_17_shorter_06_m1_comp_D_locrian	B	3	13.308521194733043	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,0_25_shorter_13_m3_comp_D_ionian	A	2	12.96059317594799	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	down_3_ST_10_m2_comp_C_lydian,10_m2_comp_C_lydian,10_m2_comp_C_lydian	B	3	13.441307344927994	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,down_1_ST_13_m3_comp_D_ionian	B	2	14.415230567013802	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_33_shorter_10_m2_comp_C_lydian,10_m2_comp_C_lydian,10_m2_comp_C_lydian	B	3	14.15379873699054	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,up_1_ST_01_m1_comp_B_lower_ionian	A	1	11.698517688700363	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_25_shorter_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	A	1	12.518989564316497	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,0_50_longer_12_m2_comp_B_lower_locrian	B	3	13.828638136969783	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	down_1_ST_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	B	2	11.74093481154732	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	0_50_longer_12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian	B	2	13.637598214297993	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,0_33_shorter_10_m2_comp_C_lydian	B	1	13.725968942980497	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
mu_test	02_m1_comp_C_dorian,02_m1_comp_C_dorian,0_33_longer_02_m1_comp_C_dorian	B	2	10.829798619656662	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_zacvik	07-X-X-láká_,count_07-X-X-láká_,rytmanip_07-X-X-láká_	B	3	9.388312620737903	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_zacvik	07-X-X-láká_,melmanip_07-X-X-láká_,count_07-X-X-láká_	A	2	8.846901631352154	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	05-X-spáchána-X_,melmanip_05-X-spáchána-X_,count_05-X-spáchána-X_	B	2	10.046083929661844	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	01-párátka-X-X_,count_01-párátka-X-X_,rytmanip_01-párátka-X-X_	B	3	9.230107038743507	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	04-X-závada-X,rytmanip_04-X-závada-X,count_04-X-závada-X	B	1	10.036716817361079	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	12-kanada-X-X,melmanip_12-kanada-X-X,count_12-kanada-X-X	A	2	9.063915804941857	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	15-X-kavárna-X,rytmanip_15-X-kavárna-X,count_15-X-kavárna-X	B	1	8.904805359340195	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	17-X-X-malá_,melmanip_17-X-X-malá_,count_17-X-X-malá_	B	2	9.39073415755348	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	18-X-X-začal,rytmanip_18-X-X-začal,count_18-X-X-začal	B	1	9.715753957556323	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	04-X-závada-X,count_04-X-závada-X,rytmanip_04-X-závada-X	A	2	9.320066516833892	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	15-X-kavárna-X,count_15-X-kavárna-X,rytmanip_15-X-kavárna-X	A	2	8.783444124881571	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	05-X-spáchána-X_,count_05-X-spáchána-X_,melmanip_05-X-spáchána-X_	A	2	10.677521165399474	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	02-vstávala-X-X_,melmanip_02-vstávala-X-X_,count_02-vstávala-X-X_	B	3	9.297401066336873	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	18-X-X-začal,count_18-X-X-začal,rytmanip_18-X-X-začal	A	1	9.887713522249696	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	17-X-X-malá_,count_17-X-X-malá_,melmanip_17-X-X-malá_	A	2	10.17196529167787	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	02-vstávala-X-X_,count_02-vstávala-X-X_,melmanip_02-vstávala-X-X_	A	1	8.701879847858061	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	12-kanada-X-X,count_12-kanada-X-X,melmanip_12-kanada-X-X	A	1	8.109400915479263	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
cr_test	01-párátka-X-X_,rytmanip_01-párátka-X-X_,count_01-párátka-X-X_	A	1	7.390134360651805	e81c	20	zadne	0	ne	pas	ne	prilez	ne	ne	ne	ne	filog
